threads,perf
2,19807.0
4,18508.7
6,17995.2
8,18633.8
10,18716.2
12,18668.3
14,18291.4
16,18172.2
18,18691.5
20,18137.5
22,18241.4
24,18407.8
26,18640.7
28,18574.6
30,18842.7
32,18395.1
