threads,perf_high_affinity,perf_low_affinity,perf_high_affinity_hit_rate,perf_low_affinity_hit_rate
2,19589.5,20114.65,0.94591036106153,0.9548724414762761
4,19746.5,20338.449999999997,0.9481517388048546,0.9460154485496464
6,19940.550000000003,20220.05,0.9485560041926905,0.9458667894401998
8,19838.2,20346.65,0.9481050127169611,0.9485135427171276
10,19646.050000000003,20042.3,0.9481931006542277,0.9453998455264588
12,19578.8,20186.800000000003,0.9482532522052447,0.9465201695103571
14,19499.15,19730.65,0.9482491615421442,0.9425864254264291
16,19677.1,20073.65,0.9487316600216416,0.9483019311965164
18,19595.85,20239.15,0.9481403849857293,0.9446340524771362
20,19594.5,19900.15,0.9483350069286021,0.94536509285015
22,19015.1,19628.4,0.9471119576373781,0.9415100676591275
24,18863.15,19606.1,0.947033193846051,0.943413982969211
26,18815.35,19797.699999999997,0.9471151729908543,0.9406945069488803
28,18810.05,19855.800000000003,0.9469978055788418,0.9416301807448824
30,18937.75,19758.4,0.9470176178162717,0.9414364407481198
32,18811.1,19458.85,0.9472078720245236,0.945615293804827
