threads,perf
2,29288.6
4,24880.0
6,24461.0
8,24498.5
10,24312.2
12,25748.7
14,25448.9
16,25180.6
18,25252.6
20,25452.8
22,25982.0
24,25604.3
26,25481.8
28,25393.1
30,25699.4
32,25689.6
