threads,perf_high_affinity,perf_low_affinity
2,28587.55,33111.399999999994
4,26006.4,33630.4
6,26493.9,33377.7
8,27066.1,33749.75
10,26953.449999999997,33443.8
12,26313.2,33850.149999999994
14,25979.3,27971.55
16,24028.1,31664.35
18,24970.7,33070.35
20,27287.35,33532.0
22,27200.4,33761.399999999994
24,26783.0,32614.6
26,26155.1,34040.45
28,26802.45,33655.45
30,26997.449999999997,33839.25
32,26782.550000000003,32639.300000000003
