threads,perf_high_affinity,perf_low_affinity
2,20039.15,21974.0
4,18727.35,22844.300000000003
6,19197.8,22544.7
8,19375.2,22518.199999999997
10,18852.550000000003,22609.35
12,19246.25,22670.65
14,19167.15,21937.6
16,18955.9,22205.3
18,18892.55,22864.25
20,18851.65,23201.3
22,18725.3,22164.6
24,18991.5,22564.05
26,19413.25,22824.8
28,18678.1,22547.45
30,19258.8,22934.55
32,19146.4,21879.5
