threads,perf
2,17421.4
4,16187.6
6,15360.9
8,15906.0
10,16036.7
12,16432.1
14,16279.9
16,15906.0
18,16296.9
20,16373.2
22,16062.8
24,15958.5
26,16225.5
28,16306.8
30,15727.8
32,16138.9
