threads,perf_high_affinity,perf_low_affinity
2,19157.0,19809.0
3,19414.7,21724.4
4,20719.6,23578.4
5,22656.6,24231.4
6,25118.4,25212.8
7,24271.7,24093.1
8,23664.9,23987.2
9,23718.4,23721.8
10,23246.0,23595.0
11,23784.8,23948.6
12,23481.1,22541.7
13,22228.8,21150.0
14,18606.7,19300.8
15,20915.3,22442.9
16,22309.4,22611.6
