threads,perf_high_affinity,perf_low_affinity,perf_high_affinity_hit_rate,perf_low_affinity_hit_rate
2,33086.55,36203.899999999994,0.9451934703434494,0.9443074111978764
4,32928.8,35066.7,0.9477348929948646,0.9458294643425478
6,32639.45,35803.05,0.9477786328141022,0.9445004070191381
8,31969.800000000003,35692.35,0.9476069648389185,0.9450458110617775
10,32664.95,36271.5,0.9478188648533874,0.9445151172939006
12,32756.6,36092.25,0.9479240196566303,0.9452467763442567
14,32560.85,35660.2,0.9478355759923212,0.9449130287866332
16,31502.95,34337.2,0.9476366002586071,0.9455683407602535
18,31328.65,33773.05,0.9479528150418756,0.9433784230517669
20,30871.35,34288.100000000006,0.9579858019164968,0.9517287644468617
22,31896.699999999997,34692.649999999994,0.947973739815515,0.945467544795109
24,28893.15,34301.95,0.9473778851439056,0.9458391593543567
26,30240.25,34608.4,0.9467228540180761,0.9477483106830585
28,30415.65,34590.45,0.9468768180057685,0.9409955256559623
30,29776.550000000003,34240.3,0.9469991484823489,0.9425741634173777
32,30182.75,34079.4,0.9465902340947969,0.9391985566481779
